"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct","chosen_dev"
"1157",1160,1,2,1,1,160,160,0,1,501068.567474294,4,17,0,0.85,0.15,0,0,1,20,0,3,70,1,3,1.1282765410074,0,2,501068.9344271,1,501069.229968498,0.15,0,0,0.295518960152517,0.845482784208711,0,0,0.702793262215801,0,0,0,0,0,0,0,501070.435574155,501070.963900977,0,0,1.66666666666667,0,0,0,0,501070.965293743,500484.868744325,"04","learning",1,0,0
"1158",1161,1,1,2,1,161,161,0,1,501071.258806061,5,17,0,0.85,0.15,0,0,1,20,0,3,70,1,4,0.837280677816541,0,1,501071.620051968,1,501072.302697813,0,0.85,1,0.620077004169902,0.661491771819316,0,1,0.564667435963839,0,1,1,0,0,2,0,501073.221168173,501073.750479952,0,0,1.77777777777778,0,0,0,1,501073.751204709,500484.868744325,"04","learning",1,1,0
"1159",1162,1,1,2,1,162,162,0,1,501074.196904642,6,17,0,0.85,0.15,0,0,1,20,0,3,75,1,0,1.32031154141988,0,1,501074.539056916,1,501074.941395761,0,0.85,1,0.210561859132,0.0297854037448877,0,1,0.496266082815955,0,1,1,0,0,2,0,501076.340341738,501076.87188967,0,1,1.66666666666667,2,0,0,0,501078.254775069,500484.868744325,"04","learning",1,1,0
"1160",1163,1,1,2,1,163,163,0,1,501078.767239932,7,17,0,0.85,0.15,0,0,1,20,0,3,75,1,1,0.663997314588808,0,1,501079.125920662,1,501079.453503226,0,0.85,1,0.381751638509441,0.28002024753356,0,1,0.507142863395955,0,1,1,0,0,2,0,501080.193531094,501080.726277396,0,0,1.55555555555556,0,0,0,0,501080.726992495,500484.868744325,"04","learning",1,1,0
"1161",1164,1,2,1,1,164,164,0,1,501081.171895224,8,17,0,0.85,0.15,0,0,1,20,0,3,75,1,2,1.26983858293881,0,1,501081.527850492,2,501082.125708457,0,0.85,1,0.191495223034145,0.399996282886641,0,1,0.58158426250839,0,1,1,0,0,2,0,501083.462851421,501083.996586304,0,0,1.44444444444444,0,0,0,0,501083.997307138,500484.868744325,"04","learning",1,1,0
"1162",1165,1,2,1,1,165,165,0,1,501084.444933519,9,17,0,0.85,0.15,0,0,1,20,0,3,75,1,3,1.43819679343312,0,1,501084.79713671,2,501085.197684036,0,0.85,1,0.298597293454456,0.333856251850643,0,1,0.766519794647588,0,1,1,0,0,2,0,501086.698769512,501087.235811233,0,0,1.33333333333333,0,0,0,0,501087.236509126,500484.868744325,"04","learning",1,1,0
"1163",1166,1,2,1,1,166,166,0,1,501087.685732328,10,17,0,0.85,0.15,0,0,1,20,0,3,75,1,4,1.10612528524504,0,1,501088.049819611,2,501088.47802575,0,0.85,1,0.251376957209869,0.186609781157749,0,1,0.494677462513966,0,1,1,0,0,2,0,501089.651117533,501090.204275677,0,0,1.22222222222222,0,1,1,0,501090.205200264,500484.868744325,"04","learning",1,1,0
"1164",1167,1,1,2,1,167,167,0,1,501090.654822822,1,18,0,0.85,0.15,0,2,0,0,0,1,75,2,4,1.06653780652267,0,2,501091.018854563,2,501091.356943244,0.15,0,0,0.0549706738649646,0.362742243573053,1,0,0.0406099818114981,1,0,1,0,0,1,0,501092.50331197,501093.030832532,0,0,1.11111111111111,0,0,1,0,501093.031614039,500484.868744325,"04","fill",1,0,0
"1165",1168,1,2,1,1,168,168,0,1,501093.47322774,2,18,0,0.85,0.15,0,2,0,0,0,1,75,2,4,2.00882908482539,0,2,501093.837789541,1,501094.237756397,0.15,0,0,0.761694796232505,0.243364608008106,0,0,0.850446425701988,0,0,0,0,0,0,0,501096.306495772,501096.83643662,0,0,1.22222222222222,0,0,1,0,501096.837704417,500484.868744325,"04","fill",1,0,0
"1166",1169,1,1,2,1,169,169,0,1,501097.124057906,3,18,0,0.85,0.15,0,2,0,0,0,1,75,2,5,2.06641473507848,0,1,501097.490671727,1,501098.349379926,0,0.85,1,0.618482253281084,0.791919637926472,0,1,0.275829477295279,0,1,1,0,0,2,0,501100.493062431,501101.020727885,0,1,1.33333333333333,0,1,0,0,501101.021599948,500484.868744325,"04","fill",1,1,0
"1167",1170,1,1,2,1,170,170,0,1,501101.461872802,1,19,0,0,0,0,0,0,8,0,1,75,2,5,1.51605592439067,0,2,501101.827639615,2,501102.525555476,0,0,0,0.457605501989874,0.709453544956571,0,0,0.269180807313328,0,0,0,0,1,0,0,501104.112632032,501104.640222021,0,1,1.22222222222222,0,0,1,0,501104.641605128,500484.868744325,"04","extinction",2,1,2.1643617317177e-08
"1168",1171,1,1,2,1,171,171,0,1,501104.92757707,2,19,0,0,0,0,0,0,8,0,1,75,2,5,2.47638150606106,0,2,501105.280424422,2,501105.62963712,0,0,0,0.428049618624827,0.109159364254511,0,0,0.619462974411256,0,0,0,0,1,0,0,501108.18269052,501108.715820482,0,1,1.33333333333333,0,0,0,0,501108.717304711,500484.868744325,"04","extinction",2,1,8.55632256556349e-09
"1169",1172,1,2,1,1,172,172,0,1,501109.003561605,3,19,0,0,0,0,0,0,8,0,1,75,2,5,1.56877556055557,0,2,501109.366880663,1,501109.75673774,0,0,0,0.715134268251887,0.865211138522893,0,0,0.717919065949467,0,0,0,0,1,0,0,501111.401957902,501111.930073122,0,1,1.44444444444444,0,0,0,0,501111.931443852,500484.868744325,"04","extinction",2,1,0.999995297110642
"1170",1173,1,1,2,1,173,173,0,1,501112.238897113,4,19,0,0,0,0,0,0,8,0,1,75,2,5,2.64891375702657,0,1,501112.602821393,1,501113.004944712,0,0,1,0.104488012444643,0.78029456643594,0,0,0.230358397833023,0,0,0,0,1,0,0,501115.738645063,501116.266771753,0,1,1.55555555555556,0,0,0,0,501116.26815003,500484.868744325,"04","extinction",2,0,3.44685516920485e-09
"1171",1174,1,1,2,1,174,174,0,1,501116.554696405,5,19,0,0,0,0,0,0,8,0,1,75,2,5,1.15223547930643,0,2,501116.90631339,2,501117.229208423,0,0,0,0.38686646115043,0.713043585687398,0,0,0.721548842056595,0,0,0,0,1,0,0,501118.457586741,501119.003673896,0,1,1.55555555555556,0,0,0,0,501119.005053078,500484.868744325,"04","extinction",2,1,1.41222103250186e-09
"1172",1175,1,2,1,1,175,175,0,1,501119.289112759,6,19,0,0,0,0,0,0,8,0,1,75,2,5,1.61863890834841,0,2,501119.641931737,1,501119.997368113,0,0,0,0.969718505681766,0.341214636856623,0,0,0.904416050780008,0,0,0,0,1,0,0,501121.693420614,501122.221883573,0,1,1.66666666666667,0,0,0,0,501122.223295054,500484.868744325,"04","extinction",2,1,5.87451133883571e-10
"1173",1176,1,2,1,1,176,176,0,1,501122.507703077,7,19,0,0,0,0,0,0,8,0,1,75,2,5,1.64522481080976,0,2,501122.861165311,1,501123.197490546,0,0,0,0.340778736129223,0.230519699960774,0,0,0.614887838433534,0,0,0,0,1,0,0,501124.929475446,501125.458547853,0,1,1.77777777777778,0,0,0,1,501125.459927035,500484.868744325,"04","extinction",2,1,0.166222346075845
"1174",1177,1,1,2,1,177,177,0,1,501125.759706499,8,19,0,0,0,0,0,0,8,0,1,75,2,5,1.57895926902175,0,1,501126.113687624,1,501126.524669829,0,0,1,0.040665810121692,0.471288730844749,0,0,0.952692114059903,0,0,0,0,1,0,0,501128.165473528,501128.696344698,0,1,1.77777777777778,0,1,0,1,501128.697986194,500484.868744325,"04","extinction",2,0,2.47708564244248e-10
"1175",1178,1,1,2,1,178,178,0,1,501128.985136886,1,20,0,0.85,0.85,0,0,2,20,2,1,75,2,5,1.96868949009532,0,2,501129.349613865,2,501129.724654918,0.85,0,0,0.870769084321909,0.573030486591492,0,0,0.847647511438056,0,0,0,0,1,0,0,501131.768286469,501132.297446414,0,1,1.66666666666667,0,0,0,0,501132.298836766,500484.868744325,"04","reinstatement",2,1,0.0329090710176137
"1176",1179,1,2,1,1,179,179,0,1,501132.585160672,2,20,0,0.85,0.85,0,0,2,20,2,1,75,2,5,1.49906084570835,0,1,501132.935943326,2,501133.260942903,0,0.85,1,0.380261560904521,0.8661758734643,0,0,0.564001314090857,0,0,0,0,1,0,0,501134.837316532,501135.365028169,0,1,1.77777777777778,0,0,0,1,501135.366429689,500484.868744325,"04","reinstatement",2,0,1.05724855110277e-10
"1177",1180,1,2,1,1,180,180,0,1,501135.651248841,3,20,0,0.85,0.85,0,0,2,20,2,1,75,2,5,0.779041433380563,0,2,501136.00497037,1,501136.317090031,0.85,0,0,0.680737392350487,0.231039269101248,0,1,0.857850485838407,0,0,1,0,1,2,1,501137.134586058,501137.185179931,0,1,1.66666666666667,0,0,0,0,501137.92647137,500484.868744325,"04","reinstatement",2,1,0.00183345782995194
"1178",1181,1,2,1,1,181,181,0,1,501138.37653162,4,20,0,0.85,0.85,0,0,2,20,2,1,75,2,5,0.80377356468787,0,1,501138.723927745,2,501139.085152824,0,0.85,1,0.701791237129204,0.347853492059596,0,1,0.386734806065748,0,0,1,0,1,2,1,501139.928129467,501139.962736112,0,1,1.66666666666667,0,0,0,0,501140.709301588,500484.868744325,"04","reinstatement",2,0,0.834270461353035
"1179",1182,1,1,2,1,182,182,0,1,501141.158729751,5,20,0,0.85,0.85,0,0,2,20,2,1,75,2,5,0.526917073410821,0,1,501141.509527498,1,501141.885301156,0,0.85,1,0.837774783481346,0.554793047437389,0,1,0.00424006397435994,0,0,1,0,1,2,1,501142.453538845,501142.502653319,0,1,1.55555555555556,0,0,0,0,501143.253771094,500484.868744325,"04","reinstatement",2,0,0.0255212957340862
"1180",1183,1,2,1,1,183,183,0,1,501143.699642783,6,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,3.46795721034896,0,2,501144.061577828,1,501144.380433116,0.85,0,0,0.681088185994665,0.56665343872132,1,0,0.652403036005418,1,0,1,0,1,1,0,501147.931282963,501148.463590668,0,1,1.55555555555556,0,0,0,0,501148.464325991,500484.868744325,"04","reinstatement",2,1,0.00555482733884472
"1181",1184,1,1,2,1,184,184,0,1,501148.905061893,7,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,1.39974452575785,0,2,501149.251961464,2,501149.660603073,0.85,0,0,0.980812370529053,0.30842415473902,0,0,0.16726778762165,0,0,0,0,1,0,0,501151.133738747,501151.661568108,0,1,1.55555555555556,0,0,0,0,501151.663148327,500484.868744325,"04","reinstatement",2,1,0.00133905737421319
"1182",1185,1,2,1,1,185,185,0,1,501151.94505396,8,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,1.65022234875736,0,2,501152.301393491,1,501152.604915372,0.85,0,0,0.988897802181531,0.862520234299036,0,0,0.177027518922229,0,0,0,0,1,0,0,501154.336321311,501154.864035967,0,1,1.55555555555556,0,0,0,0,501154.865473106,500484.868744325,"04","reinstatement",2,1,0.000351435195719599
"1183",1186,1,2,1,1,186,186,0,1,501155.149699713,9,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,1.15656216181511,0,2,501155.50394285,1,501155.788978735,0.85,0,0,0.953807991467859,0.0435145347035624,0,0,0.247751333033335,0,0,0,0,1,0,0,501157.021929274,501157.555244878,0,1,1.55555555555556,0,0,0,0,501157.556630701,500484.868744325,"04","reinstatement",2,1,0.967233371278941
"1184",1187,1,2,1,1,187,187,0,1,501157.843622315,10,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,1.84928398907093,0,1,501158.206137528,2,501158.52511386,0,0.85,1,0.407332394799724,0.90585722950267,0,0,0.443439348032197,0,0,0,0,1,0,0,501160.441341426,501160.974020113,0,1,1.66666666666667,0,0,0,0,501160.975419218,500484.868744325,"04","reinstatement",2,0,0.158879539549678
"1185",1188,1,1,2,1,188,188,0,1,501161.261851793,11,20,0,0.85,0.85,0,0,2,20,2,1,75,3,5,1.82657540174276,0,1,501161.625534588,1,501161.932224151,0,0.85,1,0.854829330200169,0.662518117636964,0,1,0.616313042169253,0,0,1,0,1,2,1,501163.802764825,501163.855540215,0,1,1.55555555555556,0,0,0,0,501164.622007696,500484.868744325,"04","reinstatement",2,0,2.97335672268456e-05
"1186",1189,1,2,1,1,189,189,0,1,501165.117718617,12,20,0,0.85,0.85,0,0,2,20,2,1,75,4,5,0.741945325544194,0,2,501165.478688325,1,501165.820294238,0.85,0,0,0.789514060762811,0.83194629052434,1,0,0.307367335682942,1,0,1,0,1,1,0,501166.629674852,501167.162089113,0,1,1.55555555555556,0,0,0,0,501167.162808739,500484.868744325,"04","reinstatement",2,1,9.40164363324647e-06
"1187",1190,1,1,2,1,190,190,0,1,501167.611535085,13,20,0,0.85,0.85,0,0,2,20,2,1,80,0,5,1.2657965846451,0,2,501167.963962253,2,501168.300707069,0.85,0,0,0.734611732059064,0.59489613507302,1,0,0.218450658391061,1,0,1,0,1,1,0,501169.648639895,501170.17806155,1,1,1.55555555555556,1,0,0,0,501171.564090784,500484.868744325,"04","reinstatement",2,1,0.864866320610747
"1188",1191,1,2,1,1,191,191,0,1,501172.07586017,14,20,0,0.85,0.85,0,0,2,20,2,1,80,0,5,1.03676339169893,0,1,501172.434237836,2,501173.692656012,0,0.85,1,0.718272173983457,0.0976600646882957,0,1,0.541717332995905,0,0,1,0,1,2,1,501174.772288483,501174.823856749,0,1,1.66666666666667,0,0,0,0,501175.574848045,500484.868744325,"04","reinstatement",2,0,1.0704058759396e-06
"1189",1192,1,2,1,1,192,192,0,1,501176.025823223,15,20,0,0.85,0.85,0,0,2,20,2,1,80,1,5,1.3485267118135,0,2,501176.387434678,1,501176.701794718,0.85,0,0,0.0024600589437952,0.848948818410897,1,0,0.549019111047173,1,0,1,0,1,1,0,501178.122234089,501178.65414606,0,1,1.66666666666667,0,0,0,0,501178.654907342,500484.868744325,"04","reinstatement",2,1,3.811374500651e-07
"1190",1193,1,1,2,1,193,193,0,1,501179.106138796,16,20,0,0.85,0.85,0,0,2,20,2,1,80,2,5,1.62402125432189,0,2,501179.473226834,2,501179.772940493,0.85,0,0,0.248148070278122,0.725736291059768,1,0,0.189415474710877,1,0,1,0,1,1,0,501181.458113783,501181.987952906,0,1,1.66666666666667,0,0,0,0,501181.988706641,500484.868744325,"04","reinstatement",2,1,1.39844721740501e-07
"1191",1194,1,2,1,1,194,194,0,1,501182.43073298,17,20,0,0.85,0.85,0,0,2,20,2,1,80,3,5,1.4580333252238,0,2,501182.792696098,1,501183.085007027,0.85,0,0,0.481545503907624,0.0630584195583511,1,0,0.687821672128746,1,0,1,0,1,1,0,501184.610688981,501185.144024508,0,1,1.66666666666667,0,0,0,0,501185.144764057,500484.868744325,"04","reinstatement",2,1,5.26915620844282e-08
"1192",1195,1,2,1,1,195,195,0,1,501185.580193925,18,20,0,0.85,0.85,0,0,2,20,2,1,80,4,5,1.24417601157686,0,2,501185.945234772,1,501186.541343479,0.85,0,0,0.520767563599203,0.557708768011681,1,0,0.15794369638085,1,0,1,0,1,1,0,501187.863441913,501188.395761089,0,1,1.66666666666667,0,0,0,0,501188.396520862,500484.868744325,"04","reinstatement",2,1,2.03286116663148e-08
"1193",1196,1,1,2,1,196,196,0,1,501188.842450206,19,20,0,0.85,0.85,0,0,2,20,2,1,80,4,5,1.64141960456369,0,2,501189.197703053,2,501189.773259857,0.85,0,0,0.978456284406071,0.104484916255587,0,0,0.970932521842195,0,0,0,0,1,0,0,501191.482868736,501192.018199836,0,1,1.66666666666667,0,0,0,0,501192.019599847,500484.868744325,"04","reinstatement",2,1,8.01071989083024e-09
"1194",1197,1,1,2,1,197,197,0,1,501192.307059941,20,20,0,0.85,0.85,0,0,2,20,2,1,90,0,0,2.25219721114565,0,2,501192.667361037,2,501193.085614061,0.85,0,0,0.165417128157761,0.0746608148785867,1,0,0.781580766000328,1,0,1,0,1,1,0,501195.419428151,501195.956868625,1,1,1.77777777777778,3,1,0,1,501198.234642747,500484.868744325,"04","reinstatement",2,1,3.21733809391378e-09
"1195",1198,1,1,2,1,198,198,0,1,501198.761347089,1,21,0,0.85,0.85,0,0,0,4,0,3,90,0,0,1.12258514437309,0,2,501199.12261322,2,501199.628714647,0.85,0,0,0.871354803414595,0.302988798176813,0,0,0.388705516231134,0,0,0,0,0,0,0,501200.823787925,501201.355331632,0,0,1.88888888888889,0,0,0,1,501201.35671172,500484.868744325,"04","post",3,0,0
"1196",1199,1,1,2,1,199,199,0,1,501201.644047148,2,21,0,0.85,0.85,0,0,0,4,0,3,90,0,1,0.822243990912994,0,1,501202.007980181,1,501202.476877789,0,0.85,1,0.678096544059038,0.280003415057297,0,1,0.77419173886347,0,1,1,0,0,2,0,501203.375824068,501203.905993724,0,0,1.88888888888889,0,0,0,1,501203.906702785,500484.868744325,"04","post",3,0,0
"1197",1200,1,2,1,1,200,200,0,1,501204.349696574,3,21,0,0.85,0.85,0,0,0,4,0,3,90,0,2,1.73690971660121,0,1,501204.71014739,2,501205.069100395,0,0.85,1,0.185217006490994,0.582095074234005,0,1,0.21929684274667,0,1,1,0,0,2,0,501206.878679027,501207.418044139,0,0,1.77777777777778,0,0,0,1,501207.418729051,500484.868744325,"04","post",3,0,0
"1198",1201,1,1,2,1,201,201,0,1,501225.969337715,4,21,0,0.85,0.85,0,0,0,4,0,3,90,1,2,2.78954157579666,0,2,501226.327671612,2,501227.38907708,0.85,0,0,0.217768497537229,0.851525430005125,1,0,0.146770671138908,1,0,1,0,0,1,0,501230.247490968,501230.795713154,0,0,1.77777777777778,0,1,0,1,501230.796835457,500484.868744325,"04","post",3,0,0
"1199",1202,1,2,1,1,202,202,0,1,501231.242542031,1,2,0.85,0,0,0.15,0,1,20,0,3,90,2,2,1.99413196105218,0,1,501231.598460169,2,501231.884488257,0.85,0,1,0.840237854324748,0.841764321262122,1,0,0.11220959176282,1,0,1,0,0,1,0,501233.950380219,501234.479487943,0,0,1.77777777777778,0,0,0,1,501234.48020123,500484.868744325,"04","learning",1,1,0
"1200",1203,1,1,2,1,203,203,0,1,501234.922565346,2,2,0.85,0,0,0.15,0,1,20,0,3,90,2,2,1.84301099823013,0,2,501235.28476361,2,501236.252810586,0,0.15,0,0.0379942431783639,0.843752039903907,0,0,0.506513640646621,0,0,0,0,0,0,0,501238.170493101,501238.704377705,0,0,1.66666666666667,0,0,0,0,501238.705749944,500484.868744325,"04","learning",1,0,0
"1201",1204,1,2,1,1,204,204,0,1,501238.99229481,3,2,0.85,0,0,0.15,0,1,20,0,3,90,2,2,1.65819562636764,0,1,501239.354679622,2,501239.85260466,0.85,0,1,0.98811084377039,0.472922245901216,0,0,0.923707543504746,0,0,0,0,0,0,0,501241.573066488,501242.100792615,0,0,1.66666666666667,0,0,0,0,501242.102170892,500484.868744325,"04","learning",1,1,0
"1202",1205,1,2,1,1,205,205,0,1,501242.386384821,4,2,0.85,0,0,0.15,0,1,20,0,3,90,2,2,0.779573562760835,0,2,501242.740852539,1,501243.100757901,0,0.15,0,0.993613707425945,0.690307919942386,0,0,0.288833488538273,0,0,0,0,0,0,0,501243.941660489,501244.471524062,0,0,1.55555555555556,0,0,0,0,501244.472931317,500484.868744325,"04","learning",1,0,0
"1203",1206,1,1,2,1,206,206,0,1,501244.757116872,5,2,0.85,0,0,0.15,0,1,20,0,3,90,3,2,1.2371725122002,0,1,501245.109427523,1,501245.388790618,0.85,0,1,0.486937219963744,0.0769616420737925,1,0,0.163068221743091,1,0,1,0,0,1,0,501246.693960636,501247.227929457,0,0,1.55555555555556,0,0,0,0,501247.228669006,500484.868744325,"04","learning",1,1,0
"1204",1207,1,1,2,1,207,207,0,1,501247.677357922,6,2,0.85,0,0,0.15,0,1,20,0,3,90,4,2,2.93063103391758,0,1,501248.045137514,1,501248.396988136,0.85,0,1,0.224707421356757,0.443746959436728,1,0,0.0514024101305207,1,0,1,0,0,1,0,501251.414305042,501251.942232205,0,0,1.44444444444444,0,0,0,0,501251.942971753,500484.868744325,"04","learning",1,1,0
"1205",1208,1,1,2,1,208,208,0,1,501252.445593378,7,2,0.85,0,0,0.15,0,1,20,0,3,90,4,2,2.12759551284271,0,1,501252.798797222,1,501253.324185168,0.85,0,1,0.894487706106191,0.780609745826588,0,0,0.845891612472181,0,0,0,0,0,0,0,501255.517718073,501256.047097468,0,0,1.33333333333333,0,0,0,0,501256.048529778,500484.868744325,"04","learning",1,1,0
"1206",1209,1,2,1,1,209,209,0,1,501256.339008739,8,2,0.85,0,0,0.15,0,1,20,0,3,90,4,2,1.44583592018186,0,2,501256.701968286,1,501258.188361499,0,0.15,0,0.224729390212474,0.508113585656231,0,0,0.864704643884136,0,0,0,0,0,0,0,501259.704433246,501260.242788345,0,0,1.33333333333333,0,0,0,0,501260.2441793,500484.868744325,"04","learning",1,0,0
"1207",1210,1,2,1,1,210,210,0,1,501260.532094896,9,2,0.85,0,0,0.15,0,1,20,0,3,95,0,2,0.897162522879395,0,1,501260.888725115,2,501261.436541907,0.85,0,1,0.538057283756845,0.42692937371927,1,0,0.450645615444507,1,0,1,0,0,1,0,501262.406480618,501262.934815892,1,0,1.44444444444444,1,0,0,0,501264.321249312,500484.868744325,"04","learning",1,1,0
"1208",1211,1,1,2,1,211,211,0,1,501264.833231507,10,2,0.85,0,0,0.15,0,1,20,0,3,95,1,2,0.778529142222821,0,1,501265.192058939,1,501265.596673782,0.85,0,1,0.183084996316383,0.698692542877113,1,0,0.00496164910236607,1,0,1,0,0,1,0,501266.459751958,501266.987643201,0,0,1.33333333333333,0,0,0,0,501266.988379429,500484.868744325,"04","learning",1,1,0
"1209",1212,1,2,1,1,212,212,0,1,501267.435448281,11,2,0.85,0,0,0.15,0,1,20,0,3,95,1,3,1.78791507484171,0,1,501267.794175195,2,501268.523742224,0.85,0,1,0.627810134855966,0.916547760685593,0,1,0.915362814890493,0,1,1,0,0,2,0,501270.379556826,501270.909428549,0,0,1.33333333333333,0,0,0,0,501270.91011799,500484.868744325,"04","learning",1,1,0
"1210",1213,1,1,2,1,213,213,0,1,501271.357690037,12,2,0.85,0,0,0.15,0,1,20,0,3,95,1,4,1.79931922342704,0,1,501271.714116502,1,501272.428010536,0.85,0,1,0.316491638615221,0.218559355765449,0,1,0.910677719963391,0,1,1,0,0,2,0,501274.299487568,501274.827953847,0,0,1.22222222222222,0,1,1,0,501274.829099393,500484.868744325,"04","learning",1,1,0
"1211",1214,1,2,1,1,214,214,0,1,501275.265793738,1,3,0.85,0,0,0.15,1,0,0,0,2,100,1,0,1.79696211957081,0,1,501275.633819644,2,501275.980180402,0.85,0,1,0.258617605145002,0.820974136569782,0,1,0.937338121417089,0,1,1,0,0,2,0,501277.852207718,501278.380413797,0,1,1.22222222222222,2,0,1,0,501279.747507269,500484.868744325,"04","fill",1,1,0
"1212",1215,1,2,1,1,215,215,0,1,501280.260382959,2,3,0.85,0,0,0.15,1,0,0,0,2,100,1,1,0.599000511701029,0,1,501280.604606572,2,501280.956424292,0.85,0,1,0.493269080165745,0.61408469760663,0,1,0.947346910486139,0,1,1,0,0,2,0,501281.63860407,501282.168147675,0,0,1.11111111111111,0,0,1,0,501282.168812967,500484.868744325,"04","fill",1,1,0
"1213",1216,1,2,1,1,216,216,0,1,501282.61697454,3,3,0.85,0,0,0.15,1,0,0,0,2,100,1,1,2.26264528443284,0,1,501282.956484361,2,501283.388365,0.85,0,1,0.968107806197795,0.39566095441934,0,0,0.0557287658180091,0,0,0,0,0,0,0,501285.708594942,501286.245261758,0,0,1.11111111111111,0,0,1,0,501286.246525329,500484.868744325,"04","fill",1,1,0
"1214",1217,1,2,1,1,217,217,0,1,501286.5331686,4,3,0.85,0,0,0.15,1,0,0,0,2,100,1,1,1.52215993819658,0,2,501286.893035324,1,501287.307844165,0,0.15,0,0.481068725803509,0.266432483701851,0,0,0.478453267743483,0,0,0,0,0,0,0,501288.894470954,501289.424789425,0,0,1.11111111111111,0,0,1,0,501289.426180078,500484.868744325,"04","fill",1,0,0
"1215",1218,1,2,1,1,218,218,0,1,501289.713674886,5,3,0.85,0,0,0.15,1,0,0,0,2,100,1,1,1.10590132245812,0,2,501290.078869076,1,501290.53978439,0,0.15,0,0.295793139614351,0.901982092130661,0,0,0.874121989856299,0,0,0,0,0,0,0,501291.713396574,501292.244617596,0,0,1.22222222222222,0,0,1,0,501292.245883884,500484.868744325,"04","fill",1,0,0
"1216",1219,1,1,2,1,219,219,0,1,501292.532162814,6,3,0.85,0,0,0.15,1,0,0,0,2,100,2,1,1.22221596029709,0,1,501292.897812808,1,501294.059923051,0.85,0,1,0.792043693654376,0.248997234604479,1,0,0.0148185342572044,1,0,1,0,0,1,0,501295.349692046,501295.88453927,0,0,1.22222222222222,0,0,1,0,501295.885227805,500484.868744325,"04","fill",1,1,0
"1217",1220,1,1,2,1,220,220,0,1,501296.329421776,7,3,0.85,0,0,0.15,1,0,0,0,2,100,3,1,1.36477381477528,0,1,501296.66749959,1,501297.004077478,0.85,0,1,0.70185184243475,0.955458471097614,1,0,0.419361995510511,1,0,1,0,0,1,0,501298.435575665,501298.973046324,0,0,1.22222222222222,0,0,1,0,501298.973713125,500484.868744325,"04","fill",1,1,0
"1218",1221,1,1,2,1,221,221,0,1,501299.407260314,8,3,0.85,0,0,0.15,1,0,0,0,2,100,4,1,0.586963848430242,0,1,501299.75327454,1,501300.300227117,0.85,0,1,0.0383002519674408,0.602028841268582,1,0,0.761031519427689,1,0,1,0,0,1,0,501300.954159764,501301.484966639,0,0,1.22222222222222,0,0,1,0,501301.485633138,500484.868744325,"04","fill",1,1,0
"1219",1222,1,1,2,1,222,222,0,1,501301.932610226,9,3,0.85,0,0,0.15,1,0,0,0,2,100,5,1,1.41335555759379,0,1,501302.27192867,1,501302.731346473,0.85,0,1,0.392122512838485,0.854492356874055,1,0,0.400252017010161,1,0,1,0,0,1,0,501304.206850815,501304.739036872,1,0,1.22222222222222,0,1,1,0,501304.740235545,500484.868744325,"04","fill",1,1,0
"1220",1223,1,1,2,1,223,223,0,1,501305.188030362,1,4,0,0,0,0,0,0,8,0,2,100,5,1,1.64272557190881,0,2,501305.52461459,2,501306.155540033,0,0,0,0.452177733949474,0.124251393919526,0,0,0.540149043272525,0,0,0,1,0,0,0,501307.859789751,501308.394240336,1,0,1.22222222222222,0,0,1,0,501308.395640045,500484.868744325,"04","extinction",2,1,9.7243653938683e-09
"1221",1224,1,2,1,1,224,224,0,1,501308.682483748,2,4,0,0,0,0,0,0,8,0,2,100,5,1,1.79462706105428,0,2,501309.043957557,1,501309.611540519,0,0,0,0.0655497272084165,0.276907738005847,0,0,0.12279642492732,0,0,0,1,0,0,0,501311.462634688,501311.994392109,1,0,1.33333333333333,0,0,0,0,501311.99577582,500484.868744325,"04","extinction",2,1,3.93396365197876e-09
"1222",1225,1,1,2,1,225,225,0,1,501312.282486103,3,4,0,0,0,0,0,0,8,0,2,100,5,1,0.745432905886895,0,2,501312.646899088,2,501313.611820944,0,0,0,0.0907954424816282,0.609859059399636,0,0,0.566342698688635,0,0,0,1,0,0,0,501314.431623759,501314.960399139,1,0,1.44444444444444,0,0,0,0,501314.961829033,500484.868744325,"04","extinction",2,1,0.998170839540927
